date,time,latitude,longitude,magnitude,remarks,epicenter
2015-08-13,01:49,27.72,85.2,4.0,NSC,kathmandu
2015-08-11,10:42,27.7,85.29,4.3,NSC,kathmandu
2015-08-10,04:15,28.14,84.72,4.9,NSC,gorkha
2015-08-09,12:21,30.1,81.85,4.0,RSC/NSC,humla
2015-08-09,07:55,27.94,85.52,4.1,NSC,sindupalchok
2015-08-08,21:25,27.69,86.26,4.1,NSC,dolakha
2015-08-08,06:24,27.77,85.7,4.0,NSC,sindupalchok
2015-08-07,11:57,27.5,85.5,4.4,NSC,kavre
2015-08-06,20:36,27.86,85.76,4.1,NSC,sindupalchok
2015-08-05,17:38,27.63,86.07,4.1,NSC,dolakha
2015-08-05,13:59,27.64,86.07,4.3,NSC,dolakha
2015-08-01,07:22,27.81,85.71,4.2,NSC,sindupalchok
2015-07-30,20:18,27.66,86.09,4.5,NSC/RSC,dolakha
2015-07-28,21:23,27.59,86.17,4.1,NSC,dolakha
2015-07-28,18:38,27.68,86.04,4.0,NSC,dolakha
2015-07-28,09:21,27.8,85.75,4.1,NSC,sindupalchok
2015-07-27,18:23,27.94,85.48,4.2,NSC,nuwakot
2015-07-26,10:03,27.85,85.75,4.0,NSC,sindupalchok
2015-07-26,09:30,27.68,86.22,4.1,NSC,dolakha
2015-07-25,00:05,27.61,86.28,4.3,NSC,dolakha
2015-07-25,20:04,27.66,86.0,4.5,NSC,dolakha
2015-07-22,22:14,27.7,85.32,4.6,NSC/RSC,kathmandu
2015-07-21,08:09,27.86,86.39,4.3,NSC,dolakha
2015-07-17,05:09,28.18,84.74,4.0,NSC,gorkha
2015-07-15,08:14,29.8,80.73,4.1,RSC,darchula
2015-07-13,17:39,27.63,86.09,4.2,NSC,dolakha
2015-07-13,16:01,28.06,85.34,4.0,NSC,rasuwa
2015-07-11,02:28,27.8,86.23,4.4,NSC,dolakha
2015-07-09,17:59,27.89,85.73,4.4,NSC,sindupalchok
2015-07-08,10:19,27.6,86.23,4.1,NSC,dolakha
2015-07-08,09:55,27.92,85.68,4.2,NSC,sindhupalchok
2015-07-07,15:16,29.69,81.74,4.6,RSC,bajura
2015-07-07,09:06,28.48,83.13,4.2,NSC/RSC,baglung
